#Tue, 20 Aug 2024 21:12:38 GMT
#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED
'F','06DDA4','Ka-8','D-9060','','Y','Y'
'F','06DDAD','Zugvogel IIIb','D-8489','59','Y','Y'
'F','06DDC3','PIK-20 D','D-6700','SZ','Y','Y'
'F','06DDDF','DG-808 B','HB-2322','JW','Y','Y'
'F','06DDE7','Ka-8','D-3232','32','Y','Y'
'F','06DF12','ASW-20','D-7663','W2','Y','Y'
'F','06DF17','LS-8','D-3976','L8','Y','Y'
'F','070BE0','LS-7','D-1714','7','Y','Y'
'F','070F34','Paraglider','RICHC','RJC','Y','Y'
'I','071308','Paraglider','','','Y','Y'
'O','071998','Paraglider','RV','RV','Y','Y'
'O','071AC4','HangGlider','HG2272','','Y','Y'
'F','071B13','Other','','','Y','Y'
'O','071B14','Paraglider','19173','','Y','Y'
'O','071CA9','Paraglider','Jono','','Y','Y'
'O','071CE7','Paraglider','HOPPY','','Y','Y'
'I','071D23','Paraglider','','','Y','Y'
'O','072000','Cessna 182','CC-KWJ','WJ','Y','Y'
'F','07231E','Paraglider','ParaAir','','Y','Y'
'O','072537','WT9 Dynamic','OKKUU61','U61','Y','Y'
'O','072921','Blanik','OK-0202','L23','Y','Y'
'O','072F7C','Paraglider','FB2','','Y','Y'
'F','073298','DJI Mini','YU1WAT','WAT','Y','Y'
'F','073497','Ka-7','HA-5076','P01','Y','Y'
'F','07364C','SZD-36 Cobra 15','HA-4312','66','Y','Y'
'O','073738','A380','PK22','','Y','Y'
'F','07378D','Ka-7','PH-958','P02','Y','Y'
'F','0737B7','SZD-41 Jantar Std','HA-4484','MA','Y','Y'
'O','073B55','SZD-9 Bocian','LY-GQZ','QZ','Y','Y'
'O','07411F','Ultralight','LY-XMF','','Y','Y'
'O','0742E2','Paraglider','','','Y','Y'
'O','074308','Paraglider','SZ520','QRS','Y','Y'
'O','074348','Paraglider','074348','','Y','Y'
'O','074374','Paraglider','FA431','LCS','Y','Y'
'O','074812','Piper PA-38 Tomahawk','OEARG','','Y','Y'
'O','0749AF','Paraglider','Lexrobe','312','Y','Y'
